session_year,caption,caption_long,party,n_over_side,crossing,data,Legislator,id,seat
1880-01-01T12:00:00Z,"<strong>1880</strong> <span style = ""color:#E41A1C"">Republicans</span> have 7 seats over a majority.","<strong>1880</strong> <span style = ""color:#E41A1C"">Republicans</span> have 7 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 37 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 22 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1882-01-01T12:00:00Z,"<strong>1882</strong> <span style = ""color:#E41A1C"">Republicans</span> have 9 seats over a majority.","<strong>1882</strong> <span style = ""color:#E41A1C"">Republicans</span> have 9 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 20 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1885-01-01T12:00:00Z,"<strong>1885</strong> <span style = ""color:#E41A1C"">Republicans</span> have 6 seats over a majority.","<strong>1885</strong> <span style = ""color:#E41A1C"">Republicans</span> have 6 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 36 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 24 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1887-01-01T12:00:00Z,<strong>1887</strong> Party affiliations unknown.,<strong>1887</strong> Party affiliations unknown.,Democrat,NA,NA,majority,NA,NA,NA
1889-01-01T12:00:00Z,<strong>1889</strong> Party affiliations unknown.,<strong>1889</strong> Party affiliations unknown.,Democrat,NA,NA,majority,NA,NA,NA
1891-01-01T12:00:00Z,<strong>1891</strong> Party affiliations unknown.,<strong>1891</strong> Party affiliations unknown.,Democrat,NA,NA,majority,NA,NA,NA
1893-01-01T12:00:00Z,"<strong>1893</strong> <span style = ""color:#E41A1C"">Republicans</span> have 8 seats over a majority.","<strong>1893</strong> <span style = ""color:#E41A1C"">Republicans</span> have 8 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 19 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1895-01-01T12:00:00Z,"<strong>1895</strong> <span style = ""color:#E41A1C"">Republicans</span> have 23 seats over a majority.","<strong>1895</strong> <span style = ""color:#E41A1C"">Republicans</span> have 23 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 53 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1897-01-01T12:00:00Z,"<strong>1897</strong> <span style = ""color:#E41A1C"">Republicans</span> have 9 seats over a majority.","<strong>1897</strong> <span style = ""color:#E41A1C"">Republicans</span> have 9 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 39 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1899-01-01T12:00:00Z,"<strong>1899</strong> <span style = ""color:#E41A1C"">Republicans</span> have 16 seats over a majority.","<strong>1899</strong> <span style = ""color:#E41A1C"">Republicans</span> have 16 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 46 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 6 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1901-01-01T12:00:00Z,"<strong>1901</strong> <span style = ""color:#E41A1C"">Republicans</span> have 6 seats over a majority.","<strong>1901</strong> <span style = ""color:#E41A1C"">Republicans</span> have 6 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 35 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Union </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> People's </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1903-01-01T12:00:00Z,"<strong>1903</strong> <span style = ""color:#E41A1C"">Republicans</span> have 19 seats over a majority.","<strong>1903</strong> <span style = ""color:#E41A1C"">Republicans</span> have 19 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 49 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Citizen </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1905-01-01T12:00:00Z,"<strong>1905</strong> <span style = ""color:#E41A1C"">Republicans</span> have 20 seats over a majority.","<strong>1905</strong> <span style = ""color:#E41A1C"">Republicans</span> have 20 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 50 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 10 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1907-01-01T12:00:00Z,"<strong>1907</strong> <span style = ""color:#E41A1C"">Republicans</span> have 29 seats over a majority.","<strong>1907</strong> <span style = ""color:#E41A1C"">Republicans</span> have 29 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 59 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1909-01-01T12:00:00Z,"<strong>1909</strong> <span style = ""color:#E41A1C"">Republicans</span> have 21 seats over a majority.","<strong>1909</strong> <span style = ""color:#E41A1C"">Republicans</span> have 21 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 51 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Unknown Affiliation </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1911-01-01T12:00:00Z,"<strong>1911</strong> <span style = ""color:#E41A1C"">Republicans</span> have 27 seats over a majority.","<strong>1911</strong> <span style = ""color:#E41A1C"">Republicans</span> have 27 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 57 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1913-01-01T12:00:00Z,"<strong>1913</strong> <span style = ""color:#E41A1C"">Republicans</span> have 18 seats over a majority.","<strong>1913</strong> <span style = ""color:#E41A1C"">Republicans</span> have 18 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 48 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Progressive Republican </td>
   <td style=""text-align:right;""> 6 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 5 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Progressive Democrat </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1915-01-01T12:00:00Z,"<strong>1915</strong> <span style = ""color:#E41A1C"">Republicans</span> have 26 seats over a majority.","<strong>1915</strong> <span style = ""color:#E41A1C"">Republicans</span> have 26 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 56 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1917-01-01T12:00:00Z,"<strong>1917</strong> <span style = ""color:#E41A1C"">Republicans</span> have 25 seats over a majority.","<strong>1917</strong> <span style = ""color:#E41A1C"">Republicans</span> have 25 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 54 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1919-01-01T12:00:00Z,"<strong>1919</strong> <span style = ""color:#E41A1C"">Republicans</span> have 24 seats over a majority.","<strong>1919</strong> <span style = ""color:#E41A1C"">Republicans</span> have 24 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 54 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 6 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1921-01-01T12:00:00Z,"<strong>1921</strong> <span style = ""color:#E41A1C"">Republicans</span> have 28 seats over a majority.","<strong>1921</strong> <span style = ""color:#E41A1C"">Republicans</span> have 28 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 58 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1923-01-01T12:00:00Z,"<strong>1923</strong> <span style = ""color:#E41A1C"">Republicans</span> have 21 seats over a majority.","<strong>1923</strong> <span style = ""color:#E41A1C"">Republicans</span> have 21 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 51 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 9 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1925-01-01T12:00:00Z,"<strong>1925</strong> <span style = ""color:#E41A1C"">Republicans</span> have 27 seats over a majority.","<strong>1925</strong> <span style = ""color:#E41A1C"">Republicans</span> have 27 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 57 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 3 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1927-01-01T12:00:00Z,"<strong>1927</strong> <span style = ""color:#E41A1C"">Republicans</span> have 26 seats over a majority.","<strong>1927</strong> <span style = ""color:#E41A1C"">Republicans</span> have 26 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 56 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 4 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1929-01-01T12:00:00Z,"<strong>1929</strong> <span style = ""color:#E41A1C"">Republicans</span> have 28 seats over a majority.","<strong>1929</strong> <span style = ""color:#E41A1C"">Republicans</span> have 28 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 58 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 2 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1931-01-01T12:00:00Z,"<strong>1931</strong> <span style = ""color:#E41A1C"">Republicans</span> have 23 seats over a majority.","<strong>1931</strong> <span style = ""color:#E41A1C"">Republicans</span> have 23 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 53 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 7 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1933-01-01T12:00:00Z,"<strong>1933</strong> <span style = ""color:#E41A1C"">Republicans</span> have 12 seats over a majority.","<strong>1933</strong> <span style = ""color:#E41A1C"">Republicans</span> have 12 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 42 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 17 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1935-01-01T12:00:00Z,"<strong>1935</strong> <span style = ""color:#377EB8"">Democrats</span> have 8 seats over a majority.","<strong>1935</strong> <span style = ""color:#377EB8"">Democrats</span> have 8 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 22 </td>
  </tr>
</tbody>
</table>",Democrat,-8,NA,majority,NA,NA,NA
1937-01-01T12:00:00Z,"<strong>1937</strong> <span style = ""color:#377EB8"">Democrats</span> have 8 seats over a majority.","<strong>1937</strong> <span style = ""color:#377EB8"">Democrats</span> have 8 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 21 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,-8,NA,majority,NA,NA,NA
1939-01-01T12:00:00Z,"<strong>1939</strong> <span style = ""color:#E41A1C"">Republicans</span> have 16 seats over a majority.","<strong>1939</strong> <span style = ""color:#E41A1C"">Republicans</span> have 16 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 46 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 13 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Independent </td>
   <td style=""text-align:right;""> 1 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
1941-01-01T12:00:00Z,"<strong>1941</strong> <span style = ""color:#E41A1C"">Republicans</span> have 8 seats over a majority.","<strong>1941</strong> <span style = ""color:#E41A1C"">Republicans</span> have 8 seats over a majority.<table>
 <thead>
  <tr>
   <th style=""text-align:left;""> Party </th>
   <th style=""text-align:right;""> Seats </th>
  </tr>
 </thead>
<tbody>
  <tr>
   <td style=""text-align:left;""> Republican </td>
   <td style=""text-align:right;""> 38 </td>
  </tr>
  <tr>
   <td style=""text-align:left;""> Democrat </td>
   <td style=""text-align:right;""> 22 </td>
  </tr>
</tbody>
</table>",Democrat,0,NA,majority,NA,NA,NA
